sku_name;price;sold;page;keyword;gmv_estimation
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;142000;0;2;konichiwa;0
FYN244- HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Impo;918000;0;2;konichiwa;0
Konichiwa jacket jeans;155000;0;2;konichiwa;0
seventeen topokki - Merah Muda;50000;0;2;konichiwa;0
POP IT JUMBO XL BUTTERFLY / popit tiktok viral kado - Rainbow;79000;40;2;konichiwa;3160000
Kaos kpop BTS butter kuning anak cewek 2 3 4 5 6 7 8 9 10 tahun - XXS;70000;2;2;konichiwa;140000
POP IT PREMIUM STRAWBERRY popit tiktok popit tebal its murah new - Pre. Strawberry;59000;100;2;konichiwa;5900000
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;152000;0;2;konichiwa;0
K✉4X DRESS ANAK KONICHIWA EBV BAJU DRESS ANAK PEREMPUAN T L㊚R6;146000;0;2;konichiwa;0
FYN244- heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import a;925000;0;2;konichiwa;0
Heybaby-Dress Konichiwa Ebv Baju Dress Anak Perempuan Import Dress;992000;0;2;konichiwa;0
Happyoliver Dress Konichiwa Ebv Baju Dress Anak Perempuan Import Best;979000;0;2;konichiwa;0
Littleaaron Dress Konichiwa Ebv Baju Dress Anak Perempuan Import;107000;0;2;konichiwa;0
cetak dus konichiwa;2875000;0;2;konichiwa;0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;144000;0;2;konichiwa;0
Produk heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;1166000;0;2;konichiwa;0
Buku Traveling : Konichiwa Japan!;123000;0;2;konichiwa;0
Sprei Anak Motif Konichiwa By Katun Star, Seprei Katun Lokal;366000;0;2;konichiwa;0
Konichiwa Japan!;31900;0;2;konichiwa;0
BEDCOVER + SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA PINK;365000;0;2;konichiwa;0
DRESS KONICHIWA Baju Dress Anak Perempuan Dress anak bayi Perempuan;110752;0;2;konichiwa;0
Paket lensa minus - frame kacamata pria wanita konichiwa;166000;0;2;konichiwa;0
Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku Travel;40600;0;2;konichiwa;0
pesanan khusus konichiwa bdg;523312;0;2;konichiwa;0
Sandal konichiwa 👚;85000;0;2;konichiwa;0
Konichiwa Salad Bowl;78000;0;2;konichiwa;0
[Dijual] Sakura / Konichiwa Bantal Panas Belt + Magnet Tipis;198000;0;2;konichiwa;0
Sarung Tangan Konichiwa Powder Free;40000;2;2;konichiwa;80000
Handskun Konichiwa Latex Free Powder;45000;2;2;konichiwa;90000
PROMO' Buku Travelling / Konichiwa Japan! / Buku tentang Jepang /;41000;0;2;konichiwa;0
Sprei Set Katun Star HK konichiwa uk 200|180|160|140|120|100|90;125000;0;2;konichiwa;0
Sprei Bedcover Set Katun Star konichiwa p uk200|180|160|140|120|100|90;355000;0;2;konichiwa;0
Sprei Set Katun Star konichiwa p uk 200|180|160|140|120|100|90;125000;0;2;konichiwa;0
sprei & bedcover katun beverly collection motif HK konichiwa 2 warna ;260000;0;2;konichiwa;0
FER223- heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import a;932000;0;2;konichiwa;0
SUNSHINE FRAME KACAMATA BULAT KONICHIWA TERMURAH SEINDONESIA;307000;0;2;konichiwa;0
BUKU MOTIVASI : KONICHIWA JAPAN!;99000;0;2;konichiwa;0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;103400;0;2;konichiwa;0
Diskon Bedcover Set Anti Geser Motif Hk Konichiwa Uk 120X200-200X200;618000;0;2;konichiwa;0
TERBUKTI Kemeja Katun Konichiwa BYR;122000;0;2;konichiwa;0
Menarik Paket lensa minus - frame kacamata pria wanita konichiwa;163500;0;2;konichiwa;0
Buku Traveling : Konichiwa Japan!;90000;0;2;konichiwa;0
Soraya Bedsheet Set Bedcover Single Katun Gold Motif Konichiwa Murah;793000;0;2;konichiwa;0
Soraya Bedsheet Set Bedcover Single Katun Gold Motif Konichiwa;793000;0;2;konichiwa;0
Konichiwa 65ml Parfum Dokyo J15 Pheromone 100 Original Jepang;374400;0;2;konichiwa;0
heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import Dress;1010000;0;2;konichiwa;0
FER223- HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Impo;952000;0;2;konichiwa;0
Menarik Paket lensa minus - frame kacamata pria wanita konichiwa;163500;0;2;konichiwa;0
BUKU MOTIVASI : KONICHIWA JAPAN!;84800;0;2;konichiwa;0
Buku Travelling : KONICHIWA JAPAN! - Buku tentang Jepang;81900;0;2;konichiwa;0
KAOS WANITA ATASAN WANITA DISTRO GREENLIGHT KAOS KONICHIWA GREENLIGHT;64900;0;2;konichiwa;0
BEDCOVER SET KATUN BEVERLY MOTIF HK KONICHIWA RED;884000;0;2;konichiwa;0
Sepatu Corvalue Footwear - Sneakers Kasual Pria Wanita Konichiwa Fulwh;361000;0;2;konichiwa;0
Buku Traveling : Konichiwa Japan!;81900;0;2;konichiwa;0
Buku Traveling - Konichiwa Japan Travel Food Culture Life;96000;0;2;konichiwa;0
SEPATU CORVALUE FOOTWEAR - Sepatu Sneakers Casual Konichiwa Full White;210000;0;2;konichiwa;0
PROMO SANDAL KONICHIWA BERKUALITAS;272500;0;2;konichiwa;0
DRESS KONICHIWA Baju Dress Anak Perempuan Import;85900;0;2;konichiwa;0
Buku Traveling : Konichiwa Japan! : Buku Tentang Jepang;84800;0;2;konichiwa;0
- BUKU REFERENSI : Konichiwa Japan!;66100;0;2;konichiwa;0
I➸EC DRESS ANAK KONICHIWA EBV BAJU DRESS ANAK PEREMPUAN T K✉49;195000;0;2;konichiwa;0
Sprei Katun Lokal Motif HK Konichiwa By Bahan Katun Beverly,Sprei;322000;0;2;konichiwa;0
DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import - Grey, M;114400;2;1;konichiwa;228800
Sandal konichiwa;65000;60;1;konichiwa;3900000
Kaos Tulisan Jepang - KONICHIWA - Baju Kaos Distro Pria Murah - FPC ID;34500;26;1;konichiwa;897000
[EP] Yuki Saito - Kanashimi yo Konichiwa (Maison Ikkoku);140000;0;1;konichiwa;0
SANDAL ANAK KONICHIWA UNISEX KIDS;70000;0;1;konichiwa;0
KONICHIWA Sandal Jepit Dewasa Series 5;123000;0;1;konichiwa;0
konichiwa eyewear frame kacamata pure asetat 72011 kacamata cateye;115000;0;1;konichiwa;0
Promo Sandal Konichiwa Abstract Pop - Navy Blue - Women Murah;192400;0;1;konichiwa;0
KONICHIWA - Sarung Tangan Latex/Lateks | Gloves Isi 100;36500;0;1;konichiwa;0
[LP] Ito Tsukasa - Sayonara, Konichiwa (Yume Miru Season) Vinyl PH;260000;0;1;konichiwa;0
Hakushika Umakuchi shika Pack 3L sake;1150000;5;1;konichiwa;5750000
Marutai Kurume Noko Tonkotsu Ramen 194 Gr;51000;3;1;konichiwa;153000
BAJU KAOS ATASAN ANAK UNISE MOTIF BTS KOREAN BOYBAND BAHAN KATUN-PD036 - Lilac, L : 7-10 TAHUN;18499;1;1;konichiwa;18499
POP IT XXXL PASTEL STRAWBERRY PREMIUM / rainbow popit tiktok bubble;169000;21;1;konichiwa;3549000
seventeen topokki - Merah Muda;50000;0;1;konichiwa;0
Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku Travel;31900;10;1;konichiwa;319000
Penghapus lucu smiggle konichiwa eraser set;70000;0;1;konichiwa;0
konichiwa eyewear frame kacamata pure asetat 72006 kacamata cateye;120000;0;1;konichiwa;0
sandal anak no 6 konichiwa;105000;0;1;konichiwa;0
Sandal konichiwa (=);84000;0;1;konichiwa;0
KONICHIWA Jepit Sandal Dewasa 5 Series;182000;0;1;konichiwa;0
Buku Travelling / Konichiwa Japan!;52200;0;1;konichiwa;0
Konichiwa Nihongo Jilid 1 untuk Siswa SMA Kelas X;80000;0;1;konichiwa;0
Kaos japan jepang konichiwa salur garis cowok distro pria;45000;0;1;konichiwa;0
BAJU KAOS KONICHIWA TULISAN JEPANG T-SHIRT;49999;1;1;konichiwa;49999
POP IT JUMBO XL BUTTERFLY / popit tiktok viral kado - Rainbow;79000;40;1;konichiwa;3160000
Kaos kpop BTS butter kuning anak cewek 2 3 4 5 6 7 8 9 10 tahun - XXS;70000;2;1;konichiwa;140000
POP IT PREMIUM STRAWBERRY popit tiktok popit tebal its murah new - Pre. Strawberry;59000;100;1;konichiwa;5900000
Buku Traveling : Konichiwa Japan!;58000;5;1;konichiwa;290000
heybaby DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import anak bayi;113000;0;1;konichiwa;0
